#         x                 p                rho                u        
-5.9519038076e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.9118236473e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.8717434870e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.8316633267e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.7915831663e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.7515030060e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.7114228457e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.6713426854e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.6312625251e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.5911823647e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.5511022044e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.5110220441e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.4709418838e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.4308617234e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.3907815631e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.3507014028e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.3106212425e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.2705410822e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.2304609218e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.1903807615e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.1503006012e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.1102204409e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.0701402806e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.0300601202e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.9899799599e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.9498997996e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.9098196393e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.8697394790e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.8296593186e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.7895791583e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.7494989980e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.7094188377e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
